old_job_id,new_job_id,exp_id,latest_step_before_resume,latest_checkpoint_before_resume,pbs_path,train_run_dir,pbs_output_log,submitted_at,status,error
7176632.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7176715.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k,-1,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k.pbs.out,2026-05-29T17:50:24Z,submitted,
7176633.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7176716.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k,-1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k/checkpoints/ckpt_step4999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k.pbs.out,2026-05-29T17:50:24Z,submitted,
7176634.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7176717.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k,-1,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k.pbs.out,2026-05-29T17:50:24Z,submitted,
7176635.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7176718.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,M1_S16_pipe_P16_equal_K1600_b512_s20k_seed1_to300k,-1,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_pipe_P16_equal_K1600_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_pipe_P16_equal_K1600_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_pipe_P16_equal_K1600_b512_s20k_seed1_to300k.pbs.out,2026-05-29T17:50:24Z,submitted,
7176636.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7176719.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k,-1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k/checkpoints/ckpt_step4999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k.pbs.out,2026-05-29T17:50:24Z,submitted,
7176637.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7176720.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k,-1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k/checkpoints/ckpt_step19999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k.pbs.out,2026-05-29T17:50:24Z,submitted,
7176638.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7176721.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k,-1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k/checkpoints/ckpt_step14999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k.pbs.out,2026-05-29T17:50:24Z,submitted,
7176639.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7176722.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,M1_S16_single_fullk_K400_b512_s20k_seed1_to300k,-1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k/checkpoints/ckpt_step19999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k.pbs.out,2026-05-29T17:50:24Z,submitted,
7176640.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7176723.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,M1_S16_single_fullk_K800_b512_s20k_seed1_to300k,-1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k/checkpoints/ckpt_step19999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k.pbs.out,2026-05-29T17:50:24Z,submitted,
7176641.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,7176724.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,M1_S32_ddp_fullk_K1600_b1024_s20k_seed1_to300k,-1,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S32_ddp_fullk_K1600_b1024_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S32/M1_S32_ddp_fullk_K1600_b1024_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S32_ddp_fullk_K1600_b1024_s20k_seed1_to300k.pbs.out,2026-05-29T17:50:24Z,submitted,
